time,knowing,avg_belief
1.0,0.01,1.0
2.0,0.01,1.0
3.0,0.01,1.0
4.0,0.011,0.990909090909091
5.0,0.012,0.9833333333333334
6.0,0.014,0.9714285714285715
7.0,0.015,0.9666666666666668
8.0,0.017,0.9588235294117647
9.0,0.017,0.9588235294117647
10.0,0.02,0.9454999999999998
11.0,0.021,0.9390476190476188
12.0,0.023,0.9317391304347823
13.0,0.027,0.9270370370370365
14.0,0.032,0.9174687499999994
15.0,0.033,0.9117575757575751
16.0,0.036,0.9015027777777773
17.0,0.039,0.8967717948717944
18.0,0.041,0.8871851219512189
19.0,0.046,0.8740234782608691
20.0,0.054,0.8680385185185181
21.0,0.057,0.8635628070175435
22.0,0.063,0.8558901587301586
23.0,0.068,0.8539717647058822
24.0,0.07,0.8528439999999998
25.0,0.074,0.8506497297297296
26.0,0.081,0.8397379012345682
27.0,0.09,0.8308151111111115
28.0,0.099,0.8206191010101017
29.0,0.107,0.8167087102803746
30.0,0.116,0.8128830344827593
31.0,0.127,0.801340637007875
32.0,0.137,0.7984643824817528
33.0,0.153,0.7865891392156873
34.0,0.172,0.781735048255815
35.0,0.187,0.7791750176470602
36.0,0.196,0.7742268535714302
37.0,0.214,0.767666349532712
38.0,0.226,0.7613949172566388
39.0,0.242,0.7591793566115722
40.0,0.265,0.7505451615094361
41.0,0.275,0.7492696174545476
42.0,0.297,0.7442126808080827
43.0,0.32,0.738276450031252
44.0,0.347,0.7331983193371777
45.0,0.366,0.7287274816120235
46.0,0.391,0.7233018193606146
47.0,0.408,0.7211625815441178
48.0,0.44,0.7164271192022722
49.0,0.459,0.7124163001830055
50.0,0.476,0.7099934168256291
51.0,0.498,0.7063927987379506
52.0,0.521,0.703889809655469
53.0,0.541,0.7013661584036026
54.0,0.558,0.7000427479818081
55.0,0.581,0.6966910430391114
56.0,0.61,0.6922154479786454
57.0,0.64,0.6897854600170682
58.0,0.669,0.6871932970088542
59.0,0.689,0.6845188601073816
60.0,0.719,0.6816486558530533
61.0,0.736,0.680828473736449
62.0,0.75,0.6788909265682563
63.0,0.767,0.6770351920522191
64.0,0.777,0.6756910174830688
65.0,0.795,0.6743493085257525
66.0,0.814,0.6724954954644853
67.0,0.824,0.671250854145985
68.0,0.837,0.6700932415739215
69.0,0.845,0.6695869719613439
70.0,0.857,0.6685426157322492
71.0,0.862,0.6684812124647487
72.0,0.876,0.6676184900332915
73.0,0.889,0.6673851668155278
74.0,0.898,0.6668428627191837
75.0,0.904,0.6659618802327447
76.0,0.915,0.6645217681664989
77.0,0.922,0.6639841161759201
78.0,0.93,0.6633663106879344
79.0,0.935,0.6629970865566854
80.0,0.94,0.6623184364872118
81.0,0.95,0.6620429610103403
82.0,0.954,0.6619765809857916
83.0,0.959,0.6608284079857429
84.0,0.963,0.6601981047708235
85.0,0.966,0.659864166756329
86.0,0.968,0.6595263099767699
87.0,0.971,0.6591969755400989
88.0,0.972,0.6587927938029412
89.0,0.975,0.6583117915267822
